word,option1,option2,option3,option4,answer
rest,ひと休み,重要性,輝いて,おいしい,ひと休み
ancient,古代の,上演,鉛筆,安い,古代の
promise,約束,橋,ペン,現れる,約束
castle,城,世代,今夜は,トーナメント,城
treasure,宝物,クッキー,表現,ドレス,宝物
astronaut,宇宙飛行士,舞台,まっすぐに,城,宇宙飛行士
step,一歩,王,合唱,舞台,一歩
code,暗号,緊張して,登場人物,乾いて,暗号
toward,のほうへ,最近,道具,制服,のほうへ
dropp,落ちる,目の見えない,を挙げて,速度がゆっくり,落ちる
leaf,葉,技能,文,卒業する,葉
clerks,店員たち,登場人物,静かに,応援し,店員たち
guitar,ギター,メートル,木曜日,デパート,ギター
knowledge,知識,会話,日,動き,知識
radio,ラジオ,戦争,火星,工場,ラジオ
Perhaps,たぶん,伝統,落ちる,内気,たぶん
living,生き,増えて,インクで,撃た,生き
quiet,静かに,キロメートル,橋,死,静かに
express,を表現して,砂糖,ニュージーランド,かわいい,を表現して
dinosaur,恐竜,を集めた,便利だ,次の,恐竜
airport,空港,ライオン,真実,公衆,空港
case,場合,自転車,のほうへ,入浴,場合
whole,全体,年配の,インタビュー,ドル,全体
bookstore,書店,塩,休み,私のもの,書店
impress,感銘を与える,だれの,を横切ろ,今夜は,感銘を与える
toy,おもちゃ,運転手,台所,兵士,おもちゃ
"Though
",けれども,応援し,さがす,のどちらか,けれども
experiment,実験,恐れ,はげましてくれる,太った,実験
effort,努力,問題,宇宙飛行士,役に立つ,努力
movement,動き,に乗り遅れて,先生,運動,動き
choice,選択,温度,大豆,完成した,選択
supermarket,スーパーマーケット,帽子,乾いて,皮ふ,スーパーマーケット
mouth,口,を発見する,快晴の,おもちゃ,口
Nobody,だれも,亡くなって,銀行,カリフォルニア,だれも
society,社会,のほうへ,サイズ,広げてください,社会
meters,メートル,砂漠,伝統,ブラジル,メートル
either,のどちらか,を盗んだ,両方の,緊張して,のどちらか
boat,ボート,安全,過去,重,ボート
staff,職員,骨,増えて,かなり,職員
sense,覚,銀,クリスマス,がん,覚
recycle,を再生利用し,ない,葉,を挙げて,を再生利用し
soybeans,大豆,昇る,夫,翼,大豆
shouted,大声で叫んだ,いろいろな,を表現して,様式,大声で叫んだ
various,いろいろな,国の,人形,フランス,いろいろな
interest,興味,スーパーマーケット,緊張して,走る,興味
drum,たいこ,努力,場合,親愛なる,たいこ
soldier,兵士,現れる,年配の,人形,兵士
slow,速度がゆっくり,甘い,を招いた,雨の,速度がゆっくり
influence,影響,実験,割合,ストレス,影響
website,ウェブサイト,衛星,網目,監督,ウェブサイト
tomato,トマト,式典,暗号,静かに,トマト
traffic,交通量,水曜日,甘い,ライオン,交通量
stole,を盗んだ,ドレス,アジア,真実,を盗んだ
luck,運,現在の,隠れ,恐ろしい,運
deer,シカ,競技場,一歩,象徴,シカ
CD,CD,効果,猟師,足,CD
god,神,ピザ,象徴,骨,神
eleven,11,21,22,12,11
aurora,オーロラ,日,確信して,形,オーロラ
filled,を満たした,はげましてくれる,世代,大人,を満たした
band,バンド,技師,書店,法律,バンド
painting,絵,秘密の,印をつけなさい,を出す,絵
bank,銀行,あなたの,興味,涙,銀行
stick,棒,花火,を保護する,芸術家,棒
hat,帽子,インタビュー,燃えて,会話,帽子
quite,かなり,イギリス,キロメートル,状態,かなり
death,死,はっきりと,ホームステイ,南,死
presentation,発表,においがする,効果,活動的,発表
page,ページ,眠く,半ば,引いて,ページ
market,市場,かぎ,くつろぐ,を発見する,市場
active,活動的,静かに,がん,損害,活動的
date,日,プロの,入浴,深い,日
glass,ガラス,2月,幸福,を解放した,ガラス
February,2月,１月,3月,4月,2月
New Zealand,ニュージーランド,アドバイス,リスト,リスト,ニュージーランド
middle,半ば,４番目の,研究者,戦争,半ば
average,平均,を受け入れている,監督,キロメートル,平均
ability,能力,警察,を提供する,燃えて,能力
similar,似た,トーナメント,味,銀,似た
action,行動,銀行,はっきりした,目的,行動
smart,りこう,シカ,ラジオ,いつもの,りこう
above,の上を,を満たした,11,神社,の上を
matter,問題,丸く,を修理して,フォーム,問題
twelve,12,11,21,22,12
umbrella,かさ,全体,日常の,だれも,かさ
lady,婦人,を案内する,約束,タクシー,婦人
friendship,友情,つなぐ,会話,汚染,友情
desert,砂漠,を振りなさい,警察,岩,砂漠
disease,病気,鐘,時計,共通,病気
bear,クマ,さがす,を再生利用し,地震,クマ
complete,完成した,内気,フォーム,アドバイス,完成した
doll,人形,道具,タクシー,重要性,人形
tournament,トーナメント,生き残る,ドレス,記録,トーナメント
Hurry,急いで,たいこ,アリ,シドニー,急いで
herself,自分,雨の,ギター,帽子,自分
accident,事故,おもしろい,のどちらか,許す,事故
artist,芸術家,シドニー,全体,選択,芸術家
wish,願い,芸術家,戦争,値段,願い
gym,体育館,ギター,化学,科目,体育館
schedule,予定,いつもの,種,肉,予定
coach,監督,兵士,友情,一歩,監督
gas,ガス,恐竜,50,率,ガス
data,データ,穴,行動する,(飛行)便,データ
north,北部,海,を減らさ,国際的な,北部
chorus,合唱,波,慣習,の上を,合唱
puppy,子イヌ,猟師,ユリ,弱く,子イヌ
terrible,恐ろしい,運がよかっ,技師,知能,恐ろしい
fear,恐れ,を表現して,影響,太陽,恐れ
raise,を挙げて,鼻,アドバイス,ホームステイ,を挙げて
record,記録,注意,に触る,予定,記録
wake,目がさめ,フランス語,フランス,きれいだ,目がさめ
position,位置,リスト,を,温度,位置
clearly,はっきりと,文,ない,ピザ,はっきりと
twice,２度,社会,初め,深なべ,２度
December,１２月,サイズ,急いで,幸福,１２月
list,リスト,２度,市場,明かり,リスト
pollution,汚染,象徴,銀,行動,汚染
site,地点,のどちらか,大気,上演,地点
usual,いつもの,ガス,広げてください,台所,いつもの
yours,あなたの,科目,を破壊する,あなたの,あなたの
camera,カメラ,鉛筆,3月,コミュニケーションをとっている,カメラ
least,最小限の,女王,位置,落ちる,最小限の
dead,亡くなって,暗号,いつもの,髪,亡くなって
bath,入浴,アリ,感銘を与える,釣り,入浴
shy,内気,12,眺め,感銘を与える,内気
January,１月,4月,3月,2月,１月
repair,を修理して,落ちる,動き,棒,を修理して
rolled,ころがった,だ(かかる),兵士,安全,ころがった
British,イギリスの,びっくりするような,知能,インド,イギリスの
serve,を出す,平和,実験,ユリ,を出す
someday,いつか,ホームステイ,ハチ,文,いつか
everyday,毎日の,場合,婦人,サイズ,毎日の
respect,を尊敬している,確信して,ボウル,血液,を尊敬している
south,南,位置,状態,頼っている,南
forty,40,14,50,15,40
textbook,教科書,夫,昇る,ポンプ,教科書
comic,マンガ本,手段,親愛なる,角,マンガ本
act,行動する,ビデオ,能力,かぎ,行動する
fan,ファン,完成した,導く,スキーをする,ファン
tonight,今夜は,イングランド,空港,ラジオ,今夜は
holiday,休み,衝撃を受けた,かわいい,注意,休み
chocolate,チョコレート,消える,損害,CD,チョコレート
post office,郵便局,を挙げて,王,１２月,郵便局
form,フォーム,空港,よごれた,西,フォーム
teenager,ティーンエージャー,知能,１０億,日,ティーンエージャー
bee,ハチ,ペン,虫,カメ,ハチ
turtle,海ガメ,岩,国際的な,バンド,海ガメ
push,を押す,値段,イギリスの,絵,を押す
shocked,衝撃を受けた,目がさめ,イギリス,フランス語,衝撃を受けた
bright,輝いて,印をつけなさい,かさ,警察,輝いて
connect,つなぐ,工場,制服,大豆,つなぐ
invent,発明され,城,北部,運転手,発明され
noise,音,印刷する,ビデオ,火曜日,音
training,訓練,利己的に,結婚式,主な,訓練
object,物,鳴る,上着,ガス,物
chart,図表,バナナ,写真,位置,図表
funny,おもしろい,40,努力,お食事,おもしろい
billion,１０億,写真,フランス語,目の見えない,１０億
modern,現在の,観光,穴,ウェブサイト,現在の
speaker,演説者,宝物,新鮮な,空港,演説者
weak,弱く,バンド,地震,を受け入れている,弱く
fourth,４番目の,５番目の,１４番目の,１５番目の,４番目の
Asia,アジア,病気,おもしろい,書店,アジア
grade,学年,親愛なる,スーパーマーケット,メートル,学年
certain,確信して,許す,口,市場,確信して
patient,忍耐強く,角,棒,競技場,忍耐強く
ink,インク,ハンコ,きれいだ,を保護する,インク
gather,を集めた,卒業する,平和,急いで,を集めた
hole,穴,台所,ライオン,棒,穴
truth,真実,ブラジル,工場,を横切ろ,真実
wrap,を包んで,原料,願い,距離,を包んで
relationship,関係,行動する,プロの,生き,関係
rainy,雨の,大声で叫んだ,生き,とび起きる,雨の
fireworks,花火,火事,問題,を提供する,花火
percentage,割合,加える,太陽,かどうか,割合
amazing,びっくりするような,火曜日,丸く,宝物,びっくりするような
ears,耳,皮ふ,様式,すぐ,耳
impossible,不可能だ,婦人,応援し,ビデオ,不可能だ
round,丸く,翼,を紹介する,を洗いなさい,丸く
waves,波,コミュニケーションをとっている,予定,研究者,波
peace,平和,休み,価格,ころがった,平和
shirts,シャツ,快晴の,コミュニケーションをとっている,耳,シャツ
accept,を受け入れている,共通,卒業する,化学,を受け入れている
condition,状態,速度がゆっくり,州,手段,状態
dress,ドレス,選択,砂漠,王,ドレス
expect,を期待している,デパート,速度,カメラ,を期待している
following,次の,法律,涙,花火,次の
November,１１月,１２月,１０月,9月,１１月
decision,決定,市場,鐘,２度,決定
runner,走る,タクシー,おもちゃ,惑星,走る
ants,アリ,1枚,ストレス,けれども,アリ
purpose,目的,新鮮な,安い,眺め,目的
fat,太った,引いて,リンゴ,神,太った
figure,図表,アジア,を盗んだ,仕事,図表
cancer,がん,監督,不可能だ,鼻,がん
preserve,を保護する,とび起きる,足,新鮮な,を保護する
pocket,ポケット,水筒,絵,仕事,ポケット
engineer,技師,大人,はっきりと,世代,技師
importance,重要性,オーロラ,ドル,努力,重要性
interview,インタビュー,次の,メートル,腕,インタビュー
intelligence,知能,雑誌,においがする,シカ,知能
lamp,明かり,ハチ,を受け入れている,忍耐強く,明かり
task,仕事,過程,西,を集めた,仕事
pencil,鉛筆,を保護する,サービス,ポケット,鉛筆
blind,目の見えない,いす,鼻,増えて,目の見えない
Spread,広げてください,燃えて,思考,ティーンエージャー,広げてください
generation,世代,を交換する,大人,恐竜,世代
pot,深なべ,カメラ,携帯電話,昇る,深なべ
pump,ポンプ,安い,死,鐘,ポンプ
cheer,応援し,たいくつな,釣り,木曜日,応援し
metal,金属,マラソン,技能,合唱,金属
driver,運転手,能力,明かり,くつろぐ,運転手
hide,隠れ,ガラス,を痛めた,ハワイ,隠れ
department store,デパート,を,重要性,たいこ,デパート
telephone,電話,11,運転手,観光,電話
uniform,制服,涙,帽子,運動選手,制服
lion,ライオン,州,データ,観光,ライオン
stamp,切手,覚,を集めた,切手,切手
convenient,便利だ,発表,バンド,過去,便利だ
pretty,きれいだ,化学,誇りに思う,水曜日,きれいだ
daily,日常の,を再生利用し,黄色,トマト,日常の
depend,頼っている,目的,原料,利己的に,頼っている
magazine,雑誌,交通量,パーセント,速度,雑誌
state,州,地域社会,眠く,ノート,州
thoughts,思考,海ガメ,運転手,期間,思考
church,教会,種,率,かさ,教会
Whose,だれの,バラ,惑星,問題,だれの
helpful,役に立つ,体育館,忍耐強く,帽子,役に立つ
style,様式,今夜は,郵便局,塩,様式
athlete,運動選手,かわいい,古代の,いす,運動選手
performance,上演,上着,値段,びっくりするような,上演
secret,秘密の,寺,恐竜,自分,秘密の
silver,銀,ハワイ,上演,最近,銀
Brazil,ブラジル,役に立つ,ガラス,静かに,ブラジル
mobile phone,携帯電話,私のもの,重,衝撃を受けた,携帯電話
selfish,利己的に,ストレス,１１月,慣習,利己的に
lily,ユリ,ボート,パン,印をつけなさい,ユリ
taxi,タクシー,撃た,役割,訓練,タクシー
bowl,ボウル,毎日の,ブラジル,橋,ボウル
French,フランス語,クリスマス,クマ,自転車,フランス語
skin,皮ふ,スキーをする,発明され,インクで,皮ふ
wing,翼,葉,おいしい,たいくつな,翼
invention,発明,速度,を洗いなさい,教科書,発明
cross,を横切ろ,影響,注意,店員たち,を横切ろ
whether,かどうか,カリフォルニア,細胞,物,かどうか
Mars,火星,動き,撃た,年配の,火星
stress,ストレス,ファン,イングランド,はっきりした,ストレス
east,東,１１月,ページ,友情,東
boring,たいくつな,インド,いす,さがす,たいくつな
Everybody,だれもが,自分,プラスチック製の,9月,だれもが
role,役割,自分,ガス,よごれた,役割
pizza,ピザ,教科書,事故,のほうへ,ピザ
homestay,ホームステイ,店員たち,インド,歌手,ホームステイ
kitchen,台所,郵便局,サンドイッチ,を決め,台所
recently,最近,過去,物,未来,最近
wedding,結婚式,ころがった,に乗り遅れて,行動する,結婚式
safety,安全,メモ,病気,大気,安全
sightseeing,観光,すぐ,衝撃を受けた,いつか,観光
sandwich,サンドイッチ,恐ろしい,神,砂,サンドイッチ
tear,涙,教会,許す,プロの,涙
nose,鼻,汚染,翼,雑誌,鼻
key,かぎ,国際的,現在の,翼,かぎ
bell,鐘,汚染,CD,教会,鐘
custom,慣習,かどうか,あなたの,海ガメ,慣習
Hawaii,ハワイ,を洗いなさい,主な,りこう,ハワイ
offer,を提供する,を尊敬している,発明,砂糖,を提供する
rise,昇る,サービス,交通量,学年,昇る
atmosphere,大気,雲,交通量,興味,大気
chemical,化学,半ば,砂糖,１１月,化学
cloud,雲,運,秘密の,を期待している,雲
western,西,ラジオ,宝物,ジュース,西
attention,注意,発明,宝物,影響,注意
earthquake,地震,思考,いろいろな,3月,地震
graduate,卒業する,深なべ,を交換する,を満たした,卒業する
process,過程,金属,法律,影響,過程
sleepy,眠く,主な,共通,国際的,眠く
survive,生き残る,誇りに思う,チームメイト,４番目の,生き残る
shoot,撃た,輝いて,を解放した,発明され,撃た
speed,速度,携帯電話,学年,１０億,速度
bone,骨,を減らさ,花火,影響,骨
Britain,イギリス,平均,ノート,を破壊する,イギリス
seed,種,のだろうか,牛,マラソン,種
singer,歌手,形,を満たした,不可能だ,歌手
Sydney,シドニー,チョコレート,関係,地域社会,シドニー
expression,表現,いつか,自転車,鉛筆,表現
quietly,静かに,南,腕,式典,静かに
search,さがす,耳,砂糖,能力,さがす
Shake,を振りなさい,運動選手,最近,登場人物,を振りなさい
California,カリフォルニア,絵,科目,ファン,カリフォルニア
character,登場人物,価格,カリフォルニア,上着,登場人物
destroy,を破壊する,１０億,演説者,想像する,を破壊する
material,原料,忍耐強く,を決め,１月,原料
mean,手段,主将,競技場,交通量,手段
rate,率,一歩,ボート,においがする,率
Mark,印をつけなさい,に反対して,次の,メモ,印をつけなさい
release,を解放した,静かに,ティーンエージャー,ガラス,を解放した
shrine,神社,火星,活動的,約束,神社
tradition,伝統,まっすぐに,船,秘密の,伝統
burning,燃えて,関係,を発見する,運がよかっ,燃えて
magic,魔法,ウェブサイト,女王,東,魔法
queen,女王,幸福,店員たち,平和,女王
sheet,1枚,キャンプ,安全,写真,1枚
hunter,猟師,だれも,静かに,割合,猟師
dirty,よごれた,結婚式,海ガメ,初め,よごれた
happiness,幸福,願い,決定,図表,幸福
